,concept,challenge,type,name,category
0,hr,HR,double,hr,vitals
1,o2sat,O2Sat,double,o2sat,vitals
2,temp,Temp,double,temp,vitals
3,sbp,SBP,double,sbp,vitals
4,map,MAP,double,map,vitals
5,dbp,DBP,double,dbp,vitals
6,resp,Resp,double,resp,vitals
7,etco2,EtCO2,double,etco2,vitals
8,fio2,FiO2,double,fio2,vitals
9,be,BaseExcess,double,be,chemistry
10,bicar,HCO3,double,bicar,chemistry
11,ph,pH,double,ph,chemistry
12,pco2,PaCO2,double,pco2,chemistry
13,cl,Chloride,double,cl,chemistry
14,mg,Magnesium,double,mg,chemistry
15,phos,Phosphate,double,phos,chemistry
16,k,Potassium,double,k,chemistry
17,,SaO2,double,,
18,ast,AST,double,ast,organs
19,bun,BUN,double,bun,organs
20,alp,Alkalinephos,double,alp,organs
21,ca,Calcium,double,ca,organs
22,crea,Creatinine,double,crea,organs
23,bili_dir,Bilirubin_direct,double,bildir,organs
24,glu,Glucose,double,glu,organs
25,lact,Lactate,double,lact,organs
26,bili,Bilirubin_total,double,bili,organs
27,tri,TroponinI,double,tri,organs
28,hct,Hct,double,hct,hemo
29,hgb,Hgb,double,hgb,hemo
30,ptt,PTT,double,ptt,hemo
31,wbc,WBC,double,wbc,hemo
32,fgn,Fibrinogen,double,fgn,hemo
33,plt,Platelets,double,plt,hemo
34,age,Age,integer,age_static,static
35,sex,Gender,integer,female_static,static
36,,Unit1,skip,,
37,,Unit2,skip,,
38,,HospAdmTime,skip,,
39,,ICULOS,integer,,
40,,SepsisLabel,logical,,
41,cai,,double,cai,chemistry
42,na,,double,na,chemistry
43,po2,,double,po2,chemistry
44,alb,,double,alb,organs
45,alt,,double,alt,organs
46,ck,,double,ck,organs
47,ckmb,,double,ckmb,organs
48,crp,,double,crp,organs
49,tnt,,double,tnt,organs
50,urine,,double,urine,organs
51,basos,,double,basos,hemo
52,bnd,,double,bnd,hemo
53,eos,,double,eos,hemo
54,esr,,double,esr,hemo
55,hbco,,double,hbco,hemo
56,inr_pt,,double,inrpt,hemo
57,lymph,,double,lymph,hemo
58,mch,,double,mch,hemo
59,mchc,,double,mchc,hemo
60,mcv,,double,mcv,hemo
61,methb,,double,methb,hemo
62,neut,,double,neut,hemo
63,pt,,double,pt,hemo
64,rbc,,double,rbc,hemo
65,rdw,,double,rdw,hemo
66,tco2,,double,tco2,hemo
67,weight,,double,weight_static,static
68,height,,double,height_static,static
69,sofa_resp,,integer,sresp,baseline
70,sofa_coag,,integer,scoag,baseline
71,sofa_liver,,integer,sliver,baseline
72,sofa_cardio,,integer,scardio,baseline
73,sofa_cns,,integer,scns,baseline
74,sofa_renal,,integer,srenal,baseline
75,sofa,,integer,sofa,baseline
76,qsofa,,integer,qsofa,baseline
77,sirs,,integer,sirs,baseline
78,news,,integer,news,baseline
79,mews,,integer,mews,baseline
80,death,,logical,death,extra
81,abx,,logical,abx,extra
82,vent_ind,,logical,ventialtion,extra
83,vaso_ind,,logical,vasopressors,extra
