,AUPRC,rep,subsample,model,train_dataset,eval_dataset
0,0.37228089715002816,3,0,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3757258381571822,3,1,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.36971149348961163,3,2,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.37320639314951853,3,3,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.38317660619877447,3,4,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3882900654333816,3,5,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3823554309797016,3,6,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.37445581279508405,3,7,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3693032465006049,3,8,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3859434766000391,3,9,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3635912566753134,1,0,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3652144430528817,1,1,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3580490095908041,1,2,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3535089152004678,1,3,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.36676659251531074,1,4,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.36780288634658265,1,5,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3680704351374897,1,6,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.37217774412860594,1,7,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3542035556666599,1,8,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.36895325968051335,1,9,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.37952537209032833,4,0,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.38908665687446464,4,1,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.38336341696858833,4,2,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3837412599489708,4,3,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.39478160116200706,4,4,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3930307193546714,4,5,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3956658660343599,4,6,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3862458404600665,4,7,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.37176711283366576,4,8,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.39502618245751375,4,9,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3753602700526979,2,0,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3800190068757757,2,1,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.37527642209721723,2,2,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.37179398702346067,2,3,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.380350594832696,2,4,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3846211556750414,2,5,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.38512960987483863,2,6,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3783877989743708,2,7,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.36854215676943275,2,8,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3937193004689511,2,9,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.37446098422208135,0,0,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.37729507030338955,0,1,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3755327321879814,0,2,AttentionModel,AUMC+EICU+Hirid,mimic
0,0.3675143046793648,0,3,AttentionModel,AUMC+EICU+Hirid,mimic
